AIP
ACAD9
APP
GRHPR
SOX9
PLP1
APOC2
UROD
HTR1A
SH2D1A
MYOC
PRPF4
GFPT1
ZNF644
POMP
ZIC2
APC
BCS1L
BLK
HR
IRF6
HK1
HGF
ITM2B
CD40LG
KLHDC8B
CLCN5
SNRPB
UGT1A1
PDE6H
CST3
ALAS2
